	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149
Adipocytes	0	0.0700166666666666	0.41389	0.306263333333333	1	0.137986666666667	0.173616666666667	1	0	0.37784	0.0336233333333333	1	0.803303333333333	1	0.51628	1	0.549743333333333	1	0.898953333333333	1	0.0154	0.600586666666667	1	1	1	1	1	1	1	1	0.143986666666667	1	0.565173333333333	0.637193333333333	1	0	1	1	0.56894	1	1	0.000166666666666648	1	1	0.384003333333333	0.945	0.761746666666667	1	0.945	1	0.0439666666666667	0	1	1	0	1	1	1	0.761746666666667	0.8082	1	3.33333333335517e-06	1	1	0.0540033333333333	0.561156666666667	1	1	0.26985	0	0	0.0986866666666667	1	1	1	0.744056666666667	0.00131000000000003	1	1	0	1	0.73959	1	0.122953333333333	1	0.0143533333333333	1	1	0.21752	0.0323933333333334	0	0.73959	0.82739	1	0.321106666666667	0.03074	1	0.878063333333333	1	0	0.0433133333333333	1	1	1	1	1	0.784383333333333	0.637193333333333	0.893473333333333	0.462233333333333	0.971956666666667	0.330343333333333	0.0433133333333333	0	0.62908	0.438016666666667	0.534573333333333	1	1	0	0.661793333333333	0.678616666666667	0.0028933333333333	1	0.0198833333333334	0.0971266666666667	0.330343333333333	0.22493	0.00534333333333337	1	0.57677	0.371446666666667	1	1	0.275493333333333	0	1	0.56894	1	1	0.0711766666666667	0	0.789223333333333	1	0.145966666666667	1	0	0.0313099999999999	1
Astrocytes	1	1	0.13047	0	0	0.0233333333333333	0.00166666666666671	0.12528	0	1	0	1	0.0389666666666667	1	0	0.13655	0.104773333333333	1	0.0748866666666667	0.0171366666666667	1	0.00117	0.00319999999999998	0	1	1	0.316083333333333	1	0	0.216336666666667	0	0	0	0.02011	0	1	0.00812999999999997	0	0	0	0.0161	0.162836666666667	0.153856666666667	1	0.0165533333333333	0.303253333333333	0.00249333333333335	0.0161	1	0.167193333333333	0.23223	0.1488	1	0.00984333333333332	1	0.105816666666667	1	1	0.0469533333333333	0.0855966666666667	1	0.00125666666666668	0.109336666666667	0.0559033333333333	1	0	0.01792	0.00249333333333335	0.12628	0	1	0.07322	0	1	0.0664233333333333	0.00558000000000003	0	1	0	0.29826	0	0.335316666666667	0.00372666666666666	0	1	0	0.120966666666667	0.01639	1	0.0130833333333333	0.183976666666667	1	1	1	1	0	0.0789166666666666	0	0.260596666666667	0.00105	0.000870000000000037	0.31924	1	0.0242633333333333	1	1	0	0.00204333333333329	0	0	0.04765	0.01457	0	1	0.157983333333333	1	1	0.0297133333333334	1	1	0.0865366666666667	0.03146	0.180913333333333	1	0.115593333333333	1	0	0.00531999999999999	1	1	1	1	0.0916866666666667	1	0.0304266666666667	0.02029	0	0.295803333333333	0.1522	0	1	0.115593333333333	1	0.292066666666667	0	1	0.01792	0.02728	0
B-cells	0	0.00797000000000003	0.548146666666667	0.04635	0.0257166666666667	0.252243333333333	0.03379	0.153756666666667	0.38549	1	0.0117833333333334	0.0135166666666666	0.222146666666667	0.434356666666667	0.0245733333333333	0	0.223663333333333	0.05531	0.31517	0	0.236183333333333	0	0.000426666666666686	0	0	0.23776	0.02049	0.705903333333333	0	0.321126666666667	0	0	0.508316666666667	0.107203333333333	0.279476666666667	0.117383333333333	0.548146666666667	0.00134666666666672	0.00634000000000001	0	1	0.0136633333333334	0.41175	0.00119000000000002	0.0633633333333333	0.0268733333333333	0.149313333333333	0.0112766666666667	1	1	1	1	1	1	0.53896	0.0345233333333334	0.250713333333333	0.22966	0.30721	0	1	0	1	0.41694	1	0.141573333333333	1	0.442076666666667	0.02424	0.282826666666667	0.222146666666667	0.0283333333333333	0.0238033333333333	1	0.22506	0.205096666666667	0	0.0417366666666666	0.000539999999999985	0.0136633333333334	0.01789	0.19537	0.173023333333333	0.07019	1	0	0.62789	1	0.203586666666667	0.02406	0.149313333333333	0.154903333333333	0.00610333333333335	0.468596666666667	0.392443333333333	0	0.358613333333333	0	0.49096	1	0.554523333333333	0.0121633333333333	1	0	0.00622666666666671	0.00610333333333335	0.05665	0.18196	0.0075466666666667	0	0	0.496686666666667	0.387796666666667	0.317186666666667	0.00424000000000002	0.331393333333333	0.34594	0	1	0.319186666666667	0.0197033333333333	0.0113566666666667	0.185706666666667	0.31517	0.0107833333333334	0.000426666666666686	0.115416666666667	0.387796666666667	0.43171	1	0.000766666666666693	0.29021	0.000266666666666637	1	0.0901866666666666	1	1	1	0.178006666666667	0	0.263943333333333	1	0.855956666666667	0.0591666666666667	0.000539999999999985	0	1	0.138443333333333	0
Basophils	0.0061633333333333	0.223063333333333	0.54797	1	0.32039	0.799596666666667	0.373863333333333	0.505493333333333	0.505493333333333	0.145976666666667	1	0.31734	0.182673333333333	0.14501	0.36837	1	1	0.156703333333333	0.22605	1	1	0.117793333333333	1	0.246743333333333	0.16902	0.24461	0.39728	0.128983333333333	1	0.210106666666667	1	1	1	1	0.179003333333333	0.161273333333333	0.19333	0.413406666666667	1	0.19274	0.83949	0.252103333333333	0.703506666666667	0.0962266666666667	0.25	1	0.396683333333333	0.577253333333333	0.428376666666667	0.0835266666666666	0.631186666666667	1	0.123673333333333	0.0943233333333333	0.139306666666667	0.573063333333333	0.0825966666666667	0.242826666666667	0.308746666666667	0.14283	0.0927166666666667	0.165646666666667	0.408003333333333	1	0.09939	0.749163333333333	1	1	0.242523333333333	0.553966666666667	0.368986666666667	1	1	0.05274	0.130223333333333	0.243946666666667	0.283053333333333	0.35471	0.795643333333333	0.21292	1	0.3305	0.341273333333333	1	0.225323333333333	0.251823333333333	0.29729	1	0.337606666666667	1	0.17398	0.222063333333333	0.326926666666667	0.0583733333333334	0.188273333333333	0.159196666666667	0.255826666666667	0.158783333333333	1	1	0.907893333333333	1	0.15542	1	0.206276666666667	0.127803333333333	0.40534	0.52881	0.608916666666667	1	0.176343333333333	0.27865	1	0.125966666666667	0.231673333333333	0.11559	0.268196666666667	0.668753333333333	0.11062	0.138476666666667	0.670136666666667	1	0.509986666666667	1	0.22231	0.11941	1	1	0.210573333333333	0.0266333333333333	1	0.0975366666666667	0.116603333333333	0.0980833333333333	0.288336666666667	0.0853433333333333	0.0707533333333333	0.11166	1	0.876236666666667	0.19838	0.837176666666667	0.172103333333333	0.439516666666667	1	0.195433333333333	0.659493333333333	0.352376666666667	1
CD4+ T-cells	0.01414	0.274443333333333	1	0.241486666666667	0.217443333333333	0.615656666666667	0.0329133333333333	0.353926666666667	0.579826666666667	1	0.311703333333333	0.312283333333333	0.166283333333333	0.237003333333333	0.176353333333333	0.01639	0.542843333333333	0.12171	0.301746666666667	0.16507	0.653636666666667	0	1	0.04012	0.33244	0.480983333333333	1	0.29986	0.0921833333333333	0.29469	0.0651766666666667	0.0967766666666666	0.56607	0.547146666666667	0.270026666666667	0.999683333333333	0.424936666666667	0.231986666666667	0.47425	0.642426666666667	0.216143333333333	0.29469	0.448616666666667	1	0.22549	0.446166666666667	0.40081	0.562263333333333	0.664943333333333	0.999523333333333	0.608643333333333	1	1	0.13199	0.46069	0.547676666666667	0.479163333333333	0.23514	1	0	0.145933333333333	0.0503633333333333	0.58847	1	0.462053333333333	0.606226666666667	0.66349	1	0.25667	0.434626666666667	1	0.62284	0.36807	0.534673333333333	0.46069	0.414913333333333	0.352016666666667	0.400146666666667	0.21133	0.268916666666667	0.0335333333333333	0.58566	0.515623333333333	0.543373333333333	1	0.00741999999999998	1	1	1	1	0.326506666666667	0.51505	0.66335	1	0.36073	0.00148333333333328	1	0.0532866666666667	1	1	0.662496666666667	0.55398	1	0.0960433333333334	0.598	0.0629433333333334	0.385813333333333	1	0.215456666666667	0.36073	0.485133333333333	0.53795	0.32302	0.45699	0.05502	0.49412	1	0.04616	1	0.197366666666667	0.478493333333333	0.60579	0.6389	1	0.336983333333333	0.0445866666666667	0.56607	0.665383333333333	0.63496	0.564173333333333	1	0.367493333333333	0.170243333333333	1	0.550933333333333	0.341643333333333	0.575836666666667	1	0.16753	0	0.150303333333333	1	0.629903333333333	0.248433333333333	0.08958	0.126976666666667	1	0.212483333333333	0.63256
CD4+ Tcm	0.00913666666666668	0.23097	1	0.0111233333333334	1	0.488586666666667	1	0.593683333333333	0.0317566666666667	0.0970033333333333	0.508266666666667	0.20203	0.00249333333333335	0.00704000000000005	0.186166666666667	0.0402933333333333	0.11645	0.01559	0	0.0943966666666667	0	0.11524	0.000133333333333319	1	1	0.00412333333333337	1	0.0573333333333333	1	1	1	0.0883666666666667	0.0566266666666667	0.02512	0.632786666666667	0.0119333333333334	1	1	0.64657	4.66666666666393e-05	0.325006666666667	1	0.656393333333333	0.00344333333333335	0.00505	0.000266666666666637	1.66666666666648e-05	0.0405966666666666	0	1	1	1	0.0253100000000001	0	0.357046666666667	0.0850533333333333	0.188503333333333	0	0.06992	0.136986666666667	0.000423333333333331	1	0.15314	0.951306666666667	0.00605999999999995	0.36377	0.175933333333333	1	0.00105999999999995	0.00249333333333335	0.210153333333333	0.0240899999999999	0.0045033333333333	0.0196766666666667	0.11048	0.00197999999999998	1	0.0122966666666666	1	0	0.107073333333333	0.51868	1	0.00164666666666669	0.0602466666666667	0.35487	0.14401	0.0566266666666667	0.0487933333333334	1	0	0.00466333333333335	0.0157366666666666	0.0686366666666667	0	1	0.0104266666666667	1	0.75252	1	0.14936	0.105426666666667	0	0.000126666666666719	0.20479	0.000720000000000054	1	0.375143333333333	1	0.260496666666667	0.08646	1	0	0.23097	0.0268866666666666	0.0981533333333333	0.00146000000000002	0.000266666666666637	0.10765	0.226713333333333	0.0449233333333333	1	0.44959	0.4412	0.70346	0.000136666666666674	0.03284	0.0193433333333334	0.144913333333333	0.1348	0.133226666666667	0.00390333333333337	0	0	0.0798	1	0	0.0912933333333333	0.00559666666666669	0.0439566666666666	0.0204299999999999	0.122213333333333	0.145713333333333	0.473373333333333	0.01206	0.118376666666667	1	0.34394	1
CD4+ Tem	0.235086666666667	0.550703333333333	0.550703333333333	0.888036666666667	1	0.777746666666667	1	0.869396666666667	0.409143333333333	0.410813333333333	0.758936666666667	0.74538	0.476443333333333	0.14913	1	0.0611733333333333	0.29856	0.00497666666666663	0.588196666666667	0.41501	0.6466	0.5657	1	0.61059	1	1	0.12296	0.56681	0.371343333333333	1	0.30467	0.0256	1	1	1	1	0.591326666666667	1	0.44499	0.3998	1	0.426053333333333	0.365476666666667	0	0.498683333333333	0.571873333333333	0.59648	0.0962133333333334	0.398133333333333	0.664293333333333	1	1	0.0488966666666667	0.355593333333333	1	1	0.77374	0.681363333333333	0.866066666666667	0	0.15771	0.375466666666667	0.556873333333333	0.41327	1	0.456413333333333	0.83588	1	0.0342333333333333	1	0.100353333333333	1	0.49392	0.528683333333333	0.580066666666667	1	1	1	1	0.791546666666667	0.42514	1	0.657753333333333	0.367943333333333	0.61716	0.752033333333333	0	1	0.622903333333333	0.419073333333333	1	0.0972266666666667	1	0.170896666666667	0.24928	0.00924000000000003	0.269906666666667	1	0.18549	1	0.471656666666667	0.563656666666667	1	0.317976666666667	0.278383333333333	1	0.55282	0.3998	1	0.10864	0.67337	0.26543	1	1	1	0.905406666666667	0.450243333333333	0.1252	0.36882	0.275233333333333	0.6934	0.503383333333333	0.777746666666667	1	0.682786666666667	0.208563333333333	0.643036666666667	0.787583333333333	0.352353333333333	1	1	0.820613333333333	0.53824	0.142433333333333	0.63116	1	0.50995	0.434626666666667	0.316413333333333	0.224963333333333	0.619383333333333	0.60838	1	0.6934	0.771886666666667	0.167466666666667	1	0.56275	1
CD4+ memory T-cells	0.0172566666666667	0.138173333333333	0.795673333333333	0.32089	0.08754	0.279476666666667	0.16972	0.178973333333333	0.850863333333333	0.868033333333333	0.61848	0.104056666666667	0.17741	0.210003333333333	0.0648366666666667	0.0156733333333333	0.242783333333333	0.03971	0.413253333333333	0.104723333333333	0.245383333333333	0	0.538473333333333	0.04347	0.000463333333333371	0.267303333333333	0.265883333333333	0.08124	0.0486766666666667	0.179636666666667	0.11486	0.131543333333333	0.447546666666667	0.710746666666667	0.03883	0.159883333333333	0.45178	0.0238033333333333	0.120686666666667	0.266366666666667	0.455986666666667	0.23791	0.324076666666667	1	0.21951	0.153723333333333	0.36677	0.486133333333333	0.425106666666667	0.1354	0.372803333333333	0.67168	1	0.1654	0.501633333333333	0.202973333333333	0.380353333333333	0.277103333333333	0.53359	0	0.43045	0.0183066666666667	0.687203333333333	0.594873333333333	0.412693333333333	0.326673333333333	0.8368	0.524806666666667	0.12597	0.488056666666667	0.551746666666667	0.687203333333333	0.28386	0.382513333333333	0.389646666666667	0.540323333333333	0.141196666666667	0.101516666666667	0.0634366666666667	0.160713333333333	0.10016	0.660273333333333	0.226516666666667	0.605553333333333	0.26538	0.0485533333333333	0.808056666666667	0.77395	0.41899	0.50524	0.0884866666666667	0.487446666666667	0.471946666666667	0.269143333333333	0.254666666666667	0.0268466666666667	0.263423333333333	0.05847	0.487446666666667	0.672183333333333	0.37618	0.15732	0.90206	0.346663333333333	0.202973333333333	0.0334100000000001	0.09376	0.68985	0.0747	0.299553333333333	0.0574166666666667	0.37447	0.589486666666667	0.245383333333333	0.0561133333333333	0.10792	0.504626666666667	0.14295	0.790753333333333	0.0571666666666667	0.204043333333333	0.211426666666667	0.30009	0.59906	0.0872466666666667	0.0591866666666667	0.496343333333333	0.300663333333333	0.393406666666667	0.266366666666667	0.511766666666667	0.198596666666667	0.254666666666667	1	0.597896666666667	0.787246666666667	0.590136666666667	0.48262	0.289756666666667	0.0195966666666667	0.06403	0.348386666666667	0.559896666666667	0.15265	0.0693866666666667	0.09202	0.78624	0.448103333333333	0.173196666666667
CD4+ naive T-cells	0.01924	0.914253333333333	1	0.441303333333333	0.605486666666667	1	0.457136666666667	1	0.75967	1	0.101953333333333	1	0.37131	1	0.457136666666667	0.0273333333333333	1	1	1	0.315226666666667	1	0	0.753753333333333	0.322776666666667	1	1	1	0.46135	0.0297033333333333	0.46135	0.0642233333333333	0	0.577756666666667	1	1	1	0.742023333333333	0.205513333333333	0.37014	0.704293333333333	0.26722	0.248056666666667	1	0.906266666666667	0.22853	1	0.6916	1	1	1	1	1	1	0.646283333333333	0.928426666666667	1	0.613893333333333	0.769863333333333	1	0	0.76171	0.856526666666667	0.58906	1	1	1	0.93427	1	1	1	1	1	0.333633333333333	1	0.524193333333333	1	0.54379	1	0.3347	0.75967	0.04028	0.813496666666667	0.730416666666667	1	1	0.0902666666666667	1	1	1	1	1	1	1	1	1	0	1	0.125183333333333	1	1	0.858733333333333	0.641173333333333	1	0.0174433333333334	1	0.610473333333333	0.555923333333333	1	0.555923333333333	0.0740499999999999	0.58117	1	0.35029	1	1	1	1	0.0428733333333333	1	1	0.624016666666667	1	0.674773333333333	1	0.603653333333333	0.480696666666667	0.84488	1	1	1	1	1	0.458546666666667	1	0.27785	0.26262	0.742023333333333	1	0.422826666666667	0	1	1	1	1	0.223336666666667	1	1	0.595493333333333	1
CD8+ T-cells	0	0.133973333333333	1	0.313493333333333	0.00863000000000003	0.712536666666667	1	0.385253333333333	0.77706	1	1	1	0.500173333333333	0.236196666666667	1	0.115733333333333	0.663826666666667	0.301653333333333	0.271533333333333	0.0338833333333334	0.11026	0	0.330283333333333	0.0152466666666666	0.203713333333333	0.413526666666667	0.712536666666667	0.0140066666666666	0.000709999999999988	0.24029	0.0320133333333333	0.0537133333333333	0.440846666666667	0.436316666666667	0.286336666666667	0.22182	1	0.75621	0.277176666666667	0.668886666666667	0.136196666666667	1	1	0.14445	1	0.354506666666667	0.44734	1	0.334093333333333	1	0.792076666666667	1	1	1	1	0.666363333333333	1	0.0135133333333334	1	0	0.44734	0.465043333333333	1	1	0.03116	0.85979	1	1	0.159066666666667	0.16642	0.386626666666667	0.85979	0.360966666666667	0.23141	0.09529	1	1	0.0755133333333333	0.583733333333333	0.424153333333333	0.198416666666667	1	1	0.94061	0.08672	0.0834233333333333	0.892153333333333	1	0.160723333333333	1	0.44395	0.251113333333333	0.721646666666667	0.43935	0.0765933333333333	0	1	0.619286666666667	0.322846666666667	1	0.400476666666667	0.02394	1	0.04293	0.27609	0	0.0399166666666667	1	0.419553333333333	0.864916666666667	0.0342966666666666	0.371633333333333	0.25999	1	0.94061	1	0.577323333333333	0.197576666666667	0.13025	0.218573333333333	0.18953	0.0377633333333334	0.537436666666667	0.149033333333333	0.57105	0.149836666666667	0.16309	0.298156666666667	0.503663333333333	0.289316666666667	1	0.03655	0.436316666666667	0.77363	0.730483333333333	1	0.25788	0.48309	0.198416666666667	0	0.436316666666667	0.577323333333333	0.607556666666667	0.147426666666667	0.367646666666667	0.00271333333333335	1	0.104243333333333	0.685013333333333
CD8+ Tcm	0	0	0.06751	0.01944	0.204796666666667	0.132366666666667	0.0538	0.01849	0.19563	0.21334	0.237503333333333	0.239896666666667	0.00547333333333333	0.0016733333333333	0.00151333333333337	0	0.0339966666666667	0.00378000000000001	0.13881	0	0.16298	0	0.152506666666667	0	0	0.0244799999999999	0.04086	0	0	0.02068	0	0.0108533333333334	0.259723333333333	0.136133333333333	0.01457	1	0.0775633333333333	0.179893333333333	0.151273333333333	0.200466666666667	0.0387733333333333	0.0297666666666667	0	0.0517366666666667	0.0473066666666667	0.0205533333333333	0.129376666666667	0.0470433333333333	0.0569466666666667	0.0881066666666667	0.0285866666666666	0.24651	0.27798	0.11319	0.287846666666667	0.0990533333333333	0.09419	0.0211366666666667	0.463786666666667	0	0.125953333333333	0	0.308733333333333	0.26674	0.0504466666666666	0.712706666666667	0.11367	0.137686666666667	0	1	0.0213433333333334	0.22718	0.01866	0.0645066666666667	0.155306666666667	0.103363333333333	0.0853233333333333	0.0154666666666666	0.000219999999999998	0.17924	0.000160000000000049	0.105873333333333	0.00738000000000005	0.111386666666667	0.00234666666666672	0	0.141903333333333	0.399406666666667	0.08957	0.14091	0.27893	0.01944	0.184926666666667	0.0569466666666667	0.276	0	0.0705166666666667	0.0322933333333333	0.09419	0.103363333333333	0.156513333333333	0.00800333333333336	0.16556	0.00774333333333332	0.0239233333333333	0	0	0.17732	0	0.0907066666666667	6.66666666671034e-06	0.173776666666667	0.17115	0.0687333333333333	0	0.0824833333333334	0.151896666666667	0.0025466666666667	0.0724900000000001	0	0.0205533333333333	0.0378633333333334	0.0387733333333333	0.182486666666667	0.00881666666666669	0	0.14301	0.290896666666667	0.0319466666666667	1	0.30578	0.0561733333333333	0.0690733333333333	0.158826666666667	0.136133333333333	0.701646666666667	0.429796666666667	0.0477833333333333	0	0	0.0603833333333333	0.157713333333333	0.20114	0.0127966666666667	0.0200733333333334	0	0.742433333333333	0.0713766666666666	0.0354533333333333
CD8+ Tem	0.04448	0.945056666666667	1	1	0.385256666666667	1	1	1	1	1	1	1	1	1	1	0.59317	1	1	1	0.527533333333333	1	0.160123333333333	1	0.75787	0.374013333333333	1	1	0.723616666666667	0.625483333333333	1	0.579713333333333	0.801193333333333	1	1	1	1	1	1	1	1	1	1	1	0.34576	1	1	0.976143333333333	1	1	1	1	1	1	1	1	1	1	0.995196666666667	1	0	1	1	1	1	0.969956666666667	1	1	1	0.52831	1	0.864723333333333	1	0.926876666666667	0.98418	1	1	1	1	1	1	0.915503333333333	1	1	1	1	1	0.841763333333333	1	1	1	1	0.962716666666667	1	1	1	0.231773333333333	1	1	1	1	1	0.829856666666667	0.935836666666667	0.60183	1	0.190176666666667	1	1	1	0.79916	0.623633333333333	1	0.810806666666667	1	1	1	1	0.544023333333333	0.82539	1	1	1	1	1	1	0.6617	1	1	1	1	1	1	1	0.47085	1	1	0.695436666666667	1	1	0.119113333333333	1	1	1	1	1	0.345193333333333	1	0.559363333333333	1
