	TCGA.XJ.A9DX.01	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.EJ.7330.01	TCGA.V1.A9Z7.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.HC.8216.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6499.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.G9.6347.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.VP.A87J.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.J4.A83I.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01	TCGA.G9.6366.01
Adipocytes	308.496559176074	432.954370959732	168.970150682187	367.029927525768	1040.83442854013	419.384951124555	829.872750270224	287.174774217356	657.426708955968	756.74400557649	1027.19592314647	364.073242669048	533.882533776643	501.626901468037	1132.21382200826	585.724392150817	534.091953649036	1191.26637527656	641.074511137626	462.119352778555	260.00805778632	163.505124648131	1171.46738890365	281.023355550813	1386.27679679874	401.313150717502	472.528595028586	1058.47460456296	625.927694507146	462.504370419635	437.895278311848	393.742046090017	329.529876282096	582.120059645134	534.568410537923	486.36316639734	577.087285604638	258.371259354566	474.251513198587	326.720288254027	364.669103147989	435.916250311101	355.106962191806	567.891957249472	352.045481026149	610.678227562159	498.384604732976	543.95496579723	746.201522952109	584.241258725302	312.547440301823	538.472537479563	348.958323382383	546.961014056287	1627.05842952212	824.635441462158	426.77994470603	297.405472779265	616.335245019086	921.164120432769	499.807660335156	580.297173373195
Astrocytes	264.327076113064	930.288681549281	295.780581916802	927.091176311485	1148.65304180287	600.000811905949	1138.09078250418	531.196786938464	859.551196500329	620.408701472752	817.061802784488	99.4578821901126	503.441537266721	496.000354721525	1886.73815029189	880.160572221734	409.758254515191	853.853172918803	1238.0905673745	268.72575129653	1252.31938360246	727.538260309923	1522.21181471853	1217.23084345191	1879.56544693291	778.176773725257	1152.91704278421	912.574139127272	693.986711365304	562.982461593507	994.675404945291	848.3685356461	46.5501659069682	1098.00974307082	878.651518900059	403.08835700992	351.176685784082	575.108477180959	877.585197684789	1018.1229979543	988.997455216119	530.958851160373	303.204937371392	426.047371051242	715.956589894795	844.391235744455	375.217677594654	197.29368309338	2172.69932104017	898.13836761497	1279.98584863575	653.860382138644	413.800276541439	881.398792594204	1221.59658690603	756.191541531229	797.613079125254	808.498669898283	829.144279141726	1355.25545564523	387.569727849687	460.812263198397
B-cells	420.659801838944	1060.58000458936	265.961831091695	552.899588081855	576.588048717118	316.766311584236	523.157788664463	411.464625919607	475.294101928292	568.049125240309	854.994044075459	488.246867619036	445.559999464008	401.625457283078	500.52450674329	487.155650138728	251.443526978682	757.09383840608	655.479631009212	531.857693986432	1817.8617445691	591.624232734865	856.452428557526	873.267278227792	532.827237866389	496.289192694479	696.104176392557	341.878754238874	329.405007428176	475.659060289565	1030.35030569327	164.594004747188	348.362920901219	422.677819921849	652.91625613765	554.11774681108	476.764355811448	508.807612931949	367.046145333773	1013.80684488299	680.319208785688	473.541624625232	590.120287635789	959.81331726139	617.912714228234	471.012730846834	453.571465269887	726.996636094039	1262.51584053941	398.227517297498	448.61857739172	292.082330088206	640.194514176096	985.563874335069	151.886628674869	778.292911920583	380.113569298212	1077.21961510586	457.906116037163	631.772497109144	602.653286973496	335.861099668316
Basophils	538.19170929469	431.760445852546	291.525298996095	251.784913843648	297.442527229129	502.657364738931	338.489759726637	116.401925336725	211.106239391293	229.634481837683	376.04799002319	218.989512331269	290.211939978472	282.115404131763	429.691326611313	287.717925485902	320.991378031376	312.030869028338	209.470176000422	294.851864308236	300.938867129035	319.452791721473	497.677445884444	166.979336918864	305.317045918155	140.973401904733	213.504889689929	298.472543098223	428.079179603688	344.882977975734	436.828568213009	371.731368059312	448.106033227327	350.649556328042	153.162532944149	431.190109891642	271.600116204507	360.509508618784	362.386671469222	285.686594590795	264.18572366034	305.443496234719	244.422436586353	447.837480301103	249.385837636802	318.81739314442	374.892815498509	443.598681439721	153.998137871316	327.116912413296	180.221451440651	561.177947076185	353.169661701708	246.828404790033	354.281029060954	358.458702727896	196.955124083402	389.188426723148	255.175846200952	316.06208991863	381.662751242888	418.647180978028
CD4+ T-cells	589.722826065002	381.26272072097	302.345964062377	404.450703570251	378.60156383575	413.63140511792	472.033529903212	384.830360211713	208.564375401198	506.68461085786	481.378199139263	405.021178516366	366.212203278788	401.436760952745	534.197742112965	526.993746216664	217.56312239998	568.875430226986	417.551594108014	561.266986950167	921.339528173113	548.050278638452	463.88090385151	370.702534229994	688.294150634592	471.70930042735	535.871292272138	168.793428123046	388.970352518836	465.877602305181	724.422207585038	254.562439971888	466.663111305291	355.530932167643	417.70369803056	445.993024755985	381.053632183749	338.680138634386	391.406798725157	669.903483289585	456.96516590178	372.400332364987	407.43858137183	847.094212215601	503.575609363562	414.956125271038	369.763142991359	514.145829754213	493.30235450718	472.798739157717	312.26267523561	419.770993771948	532.899165455534	687.408219121963	304.320964578275	555.860196555379	369.36408661741	678.631842491559	275.031884481596	448.979059026375	419.126942324994	347.371347235466
CD4+ Tcm	586.362613185542	516.480648622028	198.125864210981	221.091937918644	128.877579991278	653.421992661786	376.437512161217	174.395805765454	325.110304303409	213.549614364072	484.119808602232	334.871874484413	199.519265955373	168.497188885028	321.528732757381	359.501190530839	342.120590033788	592.561296856713	274.649391528131	293.572452128229	640.482538656307	386.446323566279	586.060704206289	439.224283993847	310.204707126517	395.324600850872	144.299070292328	220.671039702477	492.1246607128	265.854322019141	435.762962197882	263.9884034159	519.520627323158	352.373490681252	94.9636445335481	561.470302448639	264.030449784426	235.497309058102	407.559478494096	570.360532660667	208.312620615405	207.528600978624	291.169290270688	556.694619409056	436.659839871464	377.29728917705	415.312145064983	638.57167207624	223.799197671134	553.987586126713	392.477634444349	732.630653001696	305.502917617232	449.572716811873	432.508033004875	398.290680137648	340.175168610638	498.589388658489	221.81952089722	323.550330453234	124.970884622144	245.098675329155
CD4+ Tem	261.966531625064	788.108405219988	261.97058925838	187.362706165661	275.853704570769	471.163617949692	365.313633487486	302.335503882362	399.092454404193	254.384439324891	376.509095814924	406.274031804295	313.517210685617	299.944175898297	458.47737149648	316.579234296786	446.263480466428	522.131589755682	266.061327162771	382.68929229965	734.178078256016	410.827199464015	790.20758069201	666.213949237161	383.471754358887	309.200820045625	184.365812302365	497.235849680934	413.424562361713	419.532633123311	620.072481848409	182.814385178299	527.947359503832	292.38746483853	236.639726812887	578.22965364029	372.285170199198	303.92309893007	504.84114007157	725.570290025057	383.593828051592	436.898361708864	278.955201676437	531.770284510012	432.699156457971	429.667816310461	384.603576585179	475.919594986805	546.278938255682	367.499651362103	405.462737467326	706.845775064235	374.238341378417	532.688099599648	250.488639763785	332.394026767204	380.197393003323	540.999507009975	296.13928956274	352.978923551498	204.063124676993	392.051627824299
CD4+ memory T-cells	383.469580930159	244.20508415944	385.969734245242	252.313564080937	482.716195971355	131.844105009396	365.156566057383	573.658606436398	179.540622681362	749.963230835699	372.77434663405	398.186387875176	353.782354427099	392.987731979516	325.341912034174	454.271198074068	254.432023145833	407.537144317228	443.373643601111	648.510538058688	724.304124573129	382.025650318117	116.583285921629	200.855996692153	449.868020650858	391.323758519767	608.460147139723	188.003497015479	277.903613672429	501.123642392091	579.669466205703	270.143982696571	241.576857642055	411.183511324693	499.503292123806	308.162365580722	367.478381355905	397.108235389565	323.116305569336	453.644358867068	319.59250094911	456.401620402582	481.072727866699	683.90325244405	479.447653868905	262.912204630045	466.925886402247	233.962685349982	498.23283877068	245.840338215862	439.892149123017	117.42965754787	362.277000518404	697.413648516446	137.150770393507	538.395446765485	291.472399896925	614.445972764802	322.177934177809	271.508936615053	571.909893684936	367.440386352562
CD4+ naive T-cells	533.587972761124	714.790174000244	345.19944149293	397.566304664013	490.697073913865	591.890358084402	398.745138278724	429.746754688016	274.70951241129	394.073955385404	296.251776371451	316.495093035979	286.081011540966	371.700012014421	704.179222474826	515.408561937826	259.82796468961	484.730940361172	492.187142717905	404.031363096506	1193.47425046261	657.855046959444	742.816600269536	535.24951171457	652.904603186991	436.96282164229	670.591388932066	249.937685294706	370.603553787869	473.995454256996	768.280410533378	253.115454427003	398.971928569166	436.196056083615	516.147209639598	484.651728786974	259.450836361859	450.610894867395	420.858151539319	888.621258680772	533.751933674047	333.166871135846	361.89754843814	869.571215634778	468.825878835578	490.707142193547	259.57177150721	498.923048194613	867.195380398117	473.28071522963	426.941913149213	727.238998760385	503.313532654935	528.060476975126	183.427793933342	340.288607809474	375.458690129271	848.742045449251	271.917388323181	576.057095720137	379.002059501931	252.444368955823
CD8+ T-cells	342.340292451615	449.687323686684	315.234412405868	257.448682552129	431.888491648367	447.206163066758	438.106767107919	344.161076990191	198.682125184244	340.330889363838	467.342835405618	327.788032099214	264.983640687593	341.569901259554	631.481076615084	321.820081150744	388.79523138971	594.278040189689	324.335935088552	297.177471338944	733.691410237853	368.768887624322	581.564698096333	321.322554394529	563.337575094832	394.257475809798	336.401506217344	255.726307643744	453.093637280871	347.014864097209	523.631960390847	167.307250119599	356.971936270677	199.808818684757	343.796387759128	258.825638604354	399.020049966138	280.997755499035	301.820904758439	602.776056987602	277.175472604909	368.671087739068	345.367657367308	687.467971691123	443.239733946069	352.290556266993	285.148824776651	364.245538398771	496.244854517873	388.414692670688	376.916652566898	564.655593384585	351.821773323068	472.731235503234	454.730537108238	545.163046316758	285.157030927467	637.191287827662	214.372402943357	269.495194548316	323.866472366238	318.473129291166
CD8+ Tcm	575.165445838624	647.179499924115	404.553364035921	512.123414993477	395.93653482147	518.788322693402	404.349636200591	749.622801832041	355.331695809827	692.50621932448	434.811153975534	523.694957020018	632.786040074958	593.719140116764	568.975656313162	477.109325525713	422.352858638297	574.997966978591	515.177582256331	559.305744047816	1043.53693493375	522.255496369603	627.593813282691	482.618902427792	552.42363168752	429.918263044556	629.007274885226	315.043490065362	345.241127734285	517.706467503302	1046.07878154625	423.816985026903	418.492487789551	281.538778746396	613.387185304997	495.923861449357	541.732304273819	498.438172862205	576.713780352279	721.274855116276	603.946180781238	601.610433592911	561.984311390979	1070.92616498079	669.808370408768	528.402610975406	594.567563500589	455.657738662642	694.838766448152	423.262203666968	308.1141808156	798.881010236371	536.244635217425	835.68377791669	280.146749101811	601.928023839808	426.488689360604	905.111587931786	448.062111408311	481.575246180361	666.150922360899	747.717861446528
CD8+ Tem	318.520259039467	673.838891858568	162.830789464036	156.223856168216	264.719270490341	509.030391152737	301.261732327754	291.030878986851	307.722125078838	325.931772154236	283.06896118358	263.874831449427	206.735524790194	263.227069113046	707.698864473475	212.432338977902	322.472078250897	443.05299565861	273.494503893926	127.078755061766	697.720236248793	241.348691509822	841.659298243746	379.832808519955	406.643879580183	276.373727875686	272.838424620125	316.976938316522	320.488726085504	254.411527896777	553.399021850765	264.422206219592	260.710941462727	195.347520143414	61.2934464765898	297.998973158984	221.34984084121	126.086180201136	275.168889786241	571.304210125661	182.773355509615	332.144639804907	151.173243602159	798.621266932724	384.626040162297	413.882277922297	342.092062321804	297.620171438687	540.608850946123	384.21980570081	221.866360246009	940.620159231074	338.333343092867	491.46361325782	371.32613438866	375.308074742982	205.892362755233	557.177497739249	118.587758927448	310.110052894192	260.28750710044	314.907283230088
CD8+ naive T-cells	543.399289436867	321.421885490435	236.637939166281	29.9153190443382	210.243665232654	298.434371271469	550.602888903142	386.362809782797	191.275812350294	286.051515497677	533.689792815422	192.187563733054	258.534929258017	257.346571351588	515.440257772571	268.806670504403	365.949687382809	466.248692958993	194.374321571723	237.953076279893	328.249384323956	43.1845374630884	569.687053341586	227.768083741788	535.233084090879	302.110689541145	94.9349814895653	281.205986921545	466.232871442377	175.204106307487	528.603908658858	215.06234127655	288.344571328159	329.129409433427	88.9002263497532	282.461186913301	292.13509161665	91.4163395292853	319.078507126783	278.893426626879	70.1416957973531	390.104717428684	179.236233319747	452.482656123245	38.57367386161	340.746029336534	354.788233749099	297.592178849741	124.797539808873	387.359061167856	146.290773946752	365.652851123742	254.342160283724	297.681669658222	513.701162652993	535.360156215648	143.98395271515	368.212331647928	189.871422600959	139.555499790629	217.354659845758	235.860360439031
CLP	325.987827187529	770.890760791909	363.031684775163	204.189716462703	469.055000099965	430.003766182851	418.073685543535	544.11615284886	297.508137048332	571.079317763358	380.026879423128	505.935862770223	554.935773909155	485.10564160755	691.604278535377	230.208715740934	764.121868803342	361.158406328831	403.461909976154	386.431080092034	344.723959127877	16.6641764170611	531.150937190337	255.883368751689	373.02948048723	554.054641259182	281.027828375711	760.006773335177	201.873372662463	193.98737284223	548.048007679918	486.982191128991	366.524778846467	362.776453778574	425.945123135064	319.168183501655	348.922458331202	344.5197520503	492.696099806516	513.62568021295	283.642064175993	718.701783908815	418.977876481499	326.835221723061	407.667171858439	455.471763055036	403.024457124712	207.17026269449	429.966075064746	77.6934298605799	396.963395867996	546.091723442645	387.334156920306	375.73494836379	575.581521149132	453.068114960255	284.595500454013	388.889455082116	283.233715073479	284.802448979939	432.976132331816	542.046524353197
CMP	554.392103647887	643.353677031091	358.922945404501	436.279319202466	531.691912359164	714.475201240005	559.699481633745	376.920496116556	299.947082211497	445.963851918591	278.700714906218	293.052903788627	272.91852562678	489.982647566602	697.21659922373	572.116777635156	286.94168853115	560.525458603338	584.367359570413	487.615317100832	257.23901890651	629.365531704535	531.487587206924	304.219083664459	645.968131919712	392.256049099238	479.064563999225	527.513114237339	425.952095063159	713.290753540078	403.47550060053	373.216699718961	581.732324520031	416.203878247522	422.000659394506	565.993972380381	382.472053386129	628.745485211011	439.398724563043	515.502513729478	500.575086202436	470.678602694643	464.676362970372	406.078747653849	388.00723186255	431.146025903262	601.723236457213	773.498377938787	259.256807764782	598.666961283319	417.630785064164	328.674024863892	455.015308282547	505.117314398344	266.793169937436	515.394796850232	368.652170546061	479.826190077925	444.281885362191	424.805792715122	637.304388494213	402.148173681838
Chondrocytes	509.556475168129	770.694931998778	249.877299676472	712.130986840201	1097.23496907796	682.378498850008	1156.8743014566	592.757289827096	994.161421603204	192.208711388601	502.545890566313	543.280937348198	105.015338647347	244.325895468083	1355.70939903008	938.193236375156	676.517351406201	704.553824917993	934.676045619529	242.045549037813	1126.16258445546	803.954940627221	1198.94561528694	1297.2414029016	1701.28638081719	718.693011867283	1098.45709292973	835.450585005485	485.649081317481	482.097845392704	931.073667635631	742.610296192933	236.934598257016	980.297698516382	928.212358987957	439.543368129359	426.50848257409	597.854142685795	749.700292720233	1120.17567633978	658.597568767435	350.180977463974	352.264152103849	232.119146266409	949.513858419001	360.281379559621	230.878962112983	63.3462297477182	1744.36698213889	511.001948383538	1476.12646118288	359.893146690611	373.56347580429	605.063327522914	1033.27390022364	861.150932907722	479.869531716238	586.149829644498	640.942102747982	1150.45884567973	607.098925306716	307.131234675464
Class-switched memory B-cells	616.2159019589	854.883677364332	656.672896198223	422.540093865155	376.518841474838	761.824278861552	343.652553153858	749.947697302858	594.71741530791	335.172257870819	852.449914879439	203.704207462557	471.366735141765	530.50689403188	235.630799336237	721.633310950248	538.680481377512	632.59849960168	582.992924396876	473.081914124392	1426.42670660972	590.101424905424	639.232439034376	869.643570218406	221.500558299359	594.33783901976	570.519020362829	268.527173672285	468.750949653243	766.108598356934	973.686452032186	295.875747423597	598.43331664071	421.393675602022	629.791831616005	852.375715401586	525.069840562546	711.559413956445	613.831425347565	971.460877628747	564.346412376806	338.076728407889	605.363399454429	768.868574776346	724.067966959066	458.08565528342	568.765227643482	988.026562013499	777.188494892879	644.24895202781	830.871802946283	436.686752053865	741.833011121367	795.840272335875	100.958016676647	822.289663344027	582.947457433444	1232.60651052311	667.463622597842	441.204788847708	262.491853311982	611.715432698329
DC	507.712692734416	1342.28967341384	350.989871960909	536.015876652028	1206.41492674565	610.169676970313	544.904163780677	273.302551727568	643.512092791181	908.086376224321	464.459464557408	621.546130618477	517.318416740416	477.910403343848	539.935140619863	525.416826799229	621.912507558263	778.750332536064	558.539240049004	565.128141327395	1498.45168856024	611.351588557227	1126.97482148085	861.818371034836	1453.74455618658	622.632422126372	1011.86275883583	826.898505571862	471.554957620018	594.759350399676	927.052073839067	323.777101580118	167.319796606447	555.959632385568	875.110015590159	333.152512110933	535.239044073293	811.033518315935	507.356847080885	1161.66247129905	997.30560781702	828.095294557108	673.543203023116	1006.4811320619	1020.39334534436	740.03664200662	68.7465521166373	359.935465933429	1478.13523777974	311.226585147214	1023.5323356129	805.514771500402	718.796693542821	681.252384330259	512.586181023089	567.56814092093	546.074137209623	1013.64480485266	771.757658168725	1274.37036119758	495.229637304429	343.333586128114
Endothelial cells	983.179891164172	1250.27329369713	522.681698796699	1139.89612713291	1443.56439082595	995.915557907344	1602.15539037193	275.994589409342	630.974840907277	817.961290057846	99.6730077635556	539.830194880799	438.922963726228	859.338941358947	1742.03574178608	837.378030901889	171.798108033731	938.010738935419	1246.78939041825	209.75717925064	1091.57713344236	1110.90735606876	1492.0256858668	754.310941405208	2193.42247202573	787.866812138598	1743.85422645235	1461.91281096698	1192.17234440084	1091.06930787386	1617.59877872591	1710.37367172806	658.373344895772	1219.90536290807	583.25079752735	716.25908757715	390.384547940425	461.308699492548	369.707845727662	1420.08157087499	916.661220121221	553.590684236975	150.75802059566	639.408291852813	377.121323011015	858.81021099946	1280.45676376074	942.884705692027	2418.44761228382	1216.5781478163	514.328816203305	773.947835805607	396.308925533735	707.873820682239	1560.84675376182	1258.59366188673	1106.51333539147	656.252195010176	989.326754776069	1160.99449617004	1563.91839542157	767.23442348807
Eosinophils	476.537849518005	704.470525960508	453.26512677386	615.875843431676	413.821919514925	693.000558991421	487.441890531495	362.016601277395	649.810197472876	301.10444680275	365.304723076323	579.19357910198	421.774271805397	394.988284952691	499.32202296788	675.713509482444	634.951705271484	359.753825008626	402.166135211061	385.190956083663	813.733225974053	599.956643576986	610.153472936752	779.287233443977	458.630738675843	540.143562748074	570.727848086857	456.72908858854	628.421830421857	487.393411538717	650.116372332188	476.193453620689	504.569325345253	700.514286091019	535.624446268436	655.471403697016	695.381360505836	530.199179528425	504.751013633926	504.339140201837	572.069146840113	386.657560031736	477.72439758019	499.517476486801	628.153736868384	593.70880352321	546.984022312157	649.486461572576	561.0655745225	592.469730746456	836.227103163753	632.81453808296	521.36459226776	454.422515754417	514.999121673525	327.698679451401	526.569802306112	678.453546718208	652.426771953301	760.916172504676	239.874384208049	424.638762450858
